review#,submission#,review_assignment#,reviewer name,field#,review_comments,overall evaluation - score (ignore),overall evaluation score,subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),Date of review submission,Time of review submission,recommendation for best paper
15,5,301,Bexx Plxx,3,"(OVERALL EVALUATION) The manuscript addresses the role of cloud computing in library services.  Is there a net gain to incorporating cloud services? What are they? What are the potential problems?   While cloud computing as a formalized concept has been in the lexicon of IT for over a decade, with recent growing awareness of data sensitivities and vulnerabilities, the topic remains timely.  The objective of the manuscript is strong:  illuminate the benefits and concerns to incorporating cloud computing in library services, and offer recommendations.  

The manner in which the objective is achieved is deeply weak however. A fundamental weakness is an ill defined concept of cloud computing.  For instance, the authors imply that email is a cloud service. It is not, and shows confusion over the difference between distributed local area services provided by an institution and commercial cloud providers.  The authors bring some clarity to the question by naming Software As A Service (SAAS) in the abstract, but this is only mentioned in the abstract and the SAAS concept is then not carried through the body of the work.   The manuscript could be improved by carrying the concept of SAAS through the manuscript, and within that, carefully distinguishing local area services (such as those supported by the institution), private cloud services, and public cloud services.   Use a similar conceptual frame to identify library services too - those are similarly not well defined.   

The two major topics of the manuscript: a challenges of cloud computing (Sections 3, 4) and a recommendation section (5). The two topics are disjoint, and appear to have been glued together given that they do not support one another, do not flow from one to the other, and have opposing assumptions.  The challenges (Sections 3, 4) appears to be a student literature survey; it is written in a halting, disconnected style that speaks to a master's student summarizing papers and hooking them together in a barely present narrative.  This incoherence between topics and a glaring lack of technical knowledge on the part of the authors results in rather absurd inferred conclusions (i.e., 4.1 para 3): Since anyone can set up a cloud account, it is advisable to not share patron data over the web.   (4.1 para 7): Data loss is a glaring threat because (Amazon) hosts can crash. The reviewer refrains from attempting to explain why these are absurd conclusions, and instead suggests that the authors can improve the manuscript by vetting the conclusions with someone with deeper technical knowledge than the authors appear to have. 

The authors raise good questions about the location, rights, and protections of their major data assets.   The institution as a stakeholder has data resource management policies that affect the decision to move core data assets to a commercial cloud.  The manuscript would be strengthened by a focus on data assets of the libraries. The reviewer recommends this focus.  

For this or any topic to be effective in the context of this manuscript, however, the challenges need to be crisply identified in a more coherent narrative in Sec 4, and then addressed in an integrated fashion in Sec 5.   This requires bringing together the highly disparate Sec's 4 and 5, but that is required anyway for the manuscript to approach being in a form that contributes to a reader's knowledge.  

In summary, while the manuscript is far too weak for inclusion in this venue, the authors are encouraged to continue to work on the topic especially in handling the data assets of a library. It is recommended that the authors additionally engage a technical data scientist who can help crystallize the true challenges of moving to a commercial cloud.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The paper is heavily flawed;  it's two relatively unconnected topics glued together.  The first topic shows glaring weakness of knowledge in computing, resulting in absurd conclusions.  The second topic does not reflect any conclusions from the first topic; it is completely standalone.  I will strongly argue against this manuscript being accepted in the form that it is in.  Perhaps next year we'll see a better version.","Overall evaluation: -3
Reviewer's confidence: 5
Recommend for best paper: no",-3,,,,,2/18/2018,16:26,no
17,6,2,Trxxx Aaxxxx,1,"(OVERALL EVALUATION) This short paper presents a mobile device application that supports the exploration of the physical collection in a library building by recommending relevant subject areas in other areas. Log file analysis is used to answer some specific research questions such as what trends can be identified for this kind of browsing.

I find this research is interesting and relevant for the conference, but although the experiment is somewhat easy to understand, the presentation is unfocused and not yet at the level that is required for a conference publication. 

In the abstract and the beginning of the paper, the paper claims to present the development and evaluation of the topic space recommendation model. I do not find that this model is presented properly anywhere in the paper, and do not see any references to other papers presenting it. It is partially described in the background section, but difficult to identify what this model actually does. In the conclusion, the name of the app that implements this module is mentioned but it is unclear if this app module is the same as the model initially indicated as the topic of the paper. 

The introduction of the paper (as well as the abstract) lacks the contextualization and motivation for this experiment. I also find it inappropriate to include authors contention and personal position, as it only weakens the contribution.  In general, the paper lacks a good description with examples on how the system works and what the actual contribution is.

A main contribution of this paper seems to be the log analysis that is used to answer 2 research questions. The first RQ is well formulated, but the second is hard to figure out and the author can improve the contribution from this research by more carefully designing a set of well-defined research questions. 

The graphs do not render well on my print, and I suspect that this also will be a problem in the final print. Even in the pdf on screen, the images do not render well because of low resolution. 

The analysis in the finding seems to be focused on what recommendations that have been made - or followed by end users. Given that the log is covering 2 years, I find the number of users and records recommended surprisingly low and indicates a mobile app that is rather infrequently used? It is somewhat unclear if they at all investigated how successful the recommendations where. Phrases like ""checkout records"" and ""strong enough for circulation"" may make sense for a librarian but is not a precise way of describing the limitations of the research. The recommendations are described as having a ""long tail power law distribution"" but the research would have been much more interesting if the authors succeeded in explaining this phenomena in terms of user experience. All in all, I find it hard to figure out what the actual findings are.

The paper has a good list of publications, although the formatting needs to be improved.","Overall evaluation: -1
Reviewer's confidence: 4
Recommend for best paper: no",-1,,,,,2/23/2018,8:53,no
19,6,138,Danxxxx Gxx,2,"(OVERALL EVALUATION) In the digital era, the huge number of books gets harder and harder to manage over time. In order to solve this problem, the author of this paper presents a new application in order to develop and evaluate the topic space recommendation model. 
Also, this study presents some interesting results about how this application increases awareness and access to library services. 
The structure of this paper is clear and  well proportioned. Also, the method is presented in detail, giving enough information about the methods used. 
However, a few comments should be taken into account by the author:
- Figure 1 should be placed in the paper near where it is first discussed, rather than at the end of the Introduction, if possible.
- Proofreading is necessary to correct some minor errors (pg. 1 ?€?to scholarly inquiry?€?, ?€?has been renewed interest on?€? ?€? the use of the article is recommended; ?€?a collections?€?).
The paper describe how to develop and evaluate the topic space recommendation model as an alternative to the personalization algorithm. Anyway, in order to develop this model by using a mobile application, this research has a good practical implication.
With suggested minor improvements along these lines, this paper can make a good case for digital library development.","Overall evaluation: 2
Reviewer's confidence: 4
Recommend for best paper: no",2,,,,,3/8/2018,15:29,no
20,6,427,Zhxxxx Zhxx,3,"(OVERALL EVALUATION) This paper did an analysis of how library users navigate different categories of books by using a mobile app. To be more specific, the authors analyzed the log of 18 unique mobile app users over 2 years, and analyzed how's the recommendation quality after users have scanned some book barcodes. The conclusions are that: (1) some book classes have more subsequent recommendations than others. (2) the outlier analysis shows how topic expansions are related with some attributes, and resulted in long-tail phenomenon. 

My general feeling about this paper is borderline. One major issue that I'm concerned most is that there are too few users involved in this study (i.e. only 18 unique users). This might cause high variance in the subsequent analysis. Moreover, I strongly suggest the authors combine more closely Sec. 4 and Sec. 5 to show how the log analysis of the apps and Fig.2&3 lead to the conclusions in Sec.5. In its current writing, my feeling is that Sec.5 is very loosely connected with Sec.4. 

My past experience on Internet-related analysis papers is that, a study like this shall be done on at least hundreds of users, and use statistics or data analysis tools to reveal some key metrics (e.g. number of expanded topics after starting item, the plot of long-tail distribution, some more quantitative analysis) which lead to the claimed conclusions. But I do acknowledge this may not apply to library science, and it's possibly wrong in this paper's case, so please use your discretion to ignore this paragraph.","Overall evaluation: 0
Reviewer's confidence: 3
Recommend for best paper: no",0,,,,,2/16/2018,19:35,no
22,7,49,Juxxxx Fx,1,"(OVERALL EVALUATION) This paper presents a method of generating a representative document with a canonical timeline of events that are cataloged on Twitter by users sharing URIs of articles. In other words, the authors are using sharing activity on social media to generate a timeline for events being discussed at high volumes.

The authors use hashtags, n-grams, and their associated shared URIs to generate topical indexes, and use a retweet and sharing count to identify popular topics under the assumption that popular means the event should be cataloged. 

The approaches to identifying topical events is very intriguing. However, the fine-grained intent of the authors is unclear. one sentence in particular in the introduction (""While one could argue that editorial content and wikipedia pages contain the best information, many other perspectives are left behind due to attention, bias, and human scalability."") suggests that this approach is designed to incorporate multiple biases or viewpoints. However, the approach used by the authors has the potential to introduce bias. One can imagine that tweets using hashtags regarding #benghazi or #clintonemails would center around content vastly different than #trumptaxreturns or #mexicowall. Rather, timelines regarding #rogueone would be much more comprehensive. In other words, I didn't see any evaluations regarding the completeness of the timelines using this selection method to discredit any bias introduced into the resulting documents. I would have preferred to see examples of bias being removed or countered to ease my discomfort with the potential for this phenomenon to occur.

My concerns about bias regardless of popularity of content is amplified in the evaluation section. The authors aim to generate a timeline of events, but only use one wikipedia article (out of 9!) that has a comparable timeline. When comparing against the wikipedia articles, the inferred timelines have a very broad set of precision and recall measures (e.g., 0.07 vs 0.80) based on the topics. It seems difficult to draw conclusions about algorithmic effectiveness given this breadth.

Further, the authors use humans to identify defects in the constructed timelines. This seems to excuse low recall of events in the timeline. In other words, their evaluation identifies the number of irrelevant events in a timeline; if the recall of the timeline is low, the algorithm may perform better. However, f-measure is more indicative of the algorithm's success in this case. I would have preferred to see a canonical reference timeline (potentially generated by human experts) and the precision *and* recall and associated defects measured. 

Figures 6 and 7 were not fully understandable; what is ""T"" and ""W"" on the X-axis?

In summary, this paper is extremely interesting, but the evaluation and test dataset evaluation falls short.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I hate to be the ""non-committal reviewer"", but I truly am on the proverbial ""fence"" about this paper. I see a high value in the work (it's really neat that they are working on automatic story generation given the shutdown of storify), but think there are moderately concerning shortcomings with the evaluation. I look forward to my peers' input and will revise my review if others' have compelling arguments that I have not considered for either acceptance or rejection.

UPDATE -- given my peers' comfort with this paper and my reverence for both of their high levels of expertise in the area, I have changed my review to ""Accept"";","Overall evaluation: 2
Reviewer's confidence: 3
Recommend for best paper: no",2,,,,,2/19/2018,17:54,no
23,7,18,Haxxx Alxxxx,2,"(OVERALL EVALUATION) This paper proposes an interesting idea for automatically generating a story in the form of a wiki using tweets and news articles. It introduces the concept of social pseudo relevance feedback and social query expansion. 

The paper offers a clear explanation of the methods used. 

Here are some questions and suggestions: 

- Figure 1 is mentioned in the text on page 1. However, the figure does not appear until page 3. The figure should be moved to page 2 where it would be most helpful to readers.
- Page 2: Change ?€?Sharif et al.?€? to ?€?Sharifi et al.?€?
- Page 2: ?€?Integer LP approach.?€? Please state what LP stands for.
- Page 2: A shortcoming of the paper is that it does not offer an in-depth discussion of related work. For example, ?€?Other work includes linking online news and social media [28]?€? and ?€?generating event storylines from microblogs [15]?€? are just the titles of the cited articles. This is not sufficient to explain anything about these studies, the literature in general, or how the current paper extends, differs from, or contributes to the research landscape. 
-Moreover, how does the current paper differ from the following related work that was not cited: 
- Hua, T., Zhang, X., Wang, W., Lu, C. T., & Ramakrishnan, N. (2016, October). Automatical Storyline Generation with Help from Twitter. In Proceedings of the 25th ACM International on Conference on Information and Knowledge Management (pp. 2383-2388). ACM. 
- Zhou, D., Xu, H., & He, Y. (2015). An Unsupervised Bayesian Modelling Approach for Storyline Detection on News Articles. In Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing (pp. 1943-1948).
- Wang, Z., Shou, L., Chen, K., Chen, G., & Mehrotra, S. (2015). On summarization and timeline generation for evolutionary tweet streams. IEEE Transactions on Knowledge and Data Engineering, 27(5), 1301-1315.
- Page 8: Section 6.2. How many articles were collected?
- Pages 8-9: In Figures 6, 7, and 8. What do the x-axis and y-axis represent?
- Page 8: Section 6.2. The authors compare their timeline with references from Wikipedia given that many articles on Wikipedia don?€?t have a timeline. It would be interesting to compare the proposed timeline with a Wikipedia timeline. Several events on Wikipedia do have a timeline, however: https://en.wikipedia.org/w/index.php?search=Timeline+&title=Special:Search&fulltext=1&searchToken=3cc4yhepmcrukrd4z9jne76m1.  
- It is not clear what percentage of links are from spammers or advertisers.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/16/2018,0:55,no
25,7,25,Yaxxxx Alnxxxxx,3,"(OVERALL EVALUATION) The paper presents a framework that automatically generates a timeline for an event or an evolution of a story from the online stream of social media. The product of this research is similar to a wiki page in a couple of aspects: table of content, story evolution or timeline, references, related work. As the authors mentioned, a Wikipedia page usually is more than this; it usually has a history of the events, causes, and consequences.  The authors performed three evaluation methods on the page they generate an offline evaluation, a Wikipedia evaluation, and a diversity evaluation.   


The paper is well written and the methodology was clear. However, some parts of the evaluations and the results need more clarification. For example, section 6.1 that explains the offline evaluation doesn?€?t show enough details about table 3, especially the length. I couldn?€?t get exactly how the evaluation was done, who are the workers who evaluated D2 and what are their background, etc.?","Overall evaluation: 2
Reviewer's confidence: 3
Recommend for best paper: no",2,,,,,2/16/2018,19:56,no
27,8,327,Jacxxxx Saxx,1,"(OVERALL EVALUATION) The objective of this paper is to present a multi-disciplinary methodological framework.
The current version of the paper is a description of a experimental design of a digital libraries (cultural heritage) for a Inuit community (North of Canada).  The author must clearly justify the choice and explain some of the used term (e.g., multi method) and how this can be integrated into a framework.  I'm expecting reading the advantages and limitations of the proposed new methodical considerations.  But many interesting questions can be found from this experiment (what are the specific cultural heritage objects that must be preserved? in which form and why?, etc.).

The writing is clear and organisation of the paper is good.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Very limited interest, and the title does not correspond to the content","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,2/19/2018,15:27,no
29,8,400,Mixx Wrxxx,2,"(OVERALL EVALUATION) The paper outlines the methodological framework used to develop a community digital library (Digital Library North - DLN)  for an indigenous community in the north of Canada. The introduction, context and related work sections provide decent background. The core is section 4 which outlines the framework key elements; environmental scan, formative usability study, surveys , community leader engagement, information audit, community workshops and photography, What has already been reported in other references are the development of the model for the environmental scan and results of a community survey.

In the introduction and in the beginning of the conclusion, the author (project team) asserts that to develop a community DL for indigenous communities, you need a diverse methodological framework, and that is what the paper lays as the framework for the DLN.

The conclusions, however,  jump the reader from a review of the framework (with, what I'd expect as limited evaluation of its parts), to asserting three key lessons for developing a cultural digital heritage library without presenting or referring to specific results analysis - e.g. the final conclusion is the ?€?DLN framework allows for a deeper and a more accurate perspective of how to develop community DLs ?€? for indigenous and aboriginal communities?€?. It seems a leap from the framework discussion and note of some initial results to these assertions for what is a work in progress - I can understand these key issues, but it seems to get to assertion based on evaluation would be future work (or work that?€?s been done, but not reported yet).

That said, I?€?m intrigued to hear more of the project, and I think this project is definitely within the audience interest of JCDL. As this short paper only outlines the framework of community engagement, I hope we could look forward to reports on the environmental scan and how well it functions for a DL, more analysis on the usability data (and the comment of ?€?less formal ways to collect usability data?€? would be interesting to develop), and what was learned from the leader engagement as a long paper. The information audit appears to have identified quite a large corpus of material, and it would seem an archival digitization task is in the offing.

Section 4.3 - end of section states survey data were analyzed and presented in another paper, but that paper is not in the references.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/19/2018,14:55,no
30,8,287,Daxxx Nixxxx,3,"(OVERALL EVALUATION) This paper describes methods used to engage with a community for the construction of heritage collections.

The paper is well-written and it clearly describes the methods chosen for the project. The review of related work is an appropriate size for a short paper but there is no clear linkage between this work and the framework in Section 4. Figure 2 just seems to be the union of all methods previously mentioned. The methods are described well but in a more narrative format than in a critical reflection - which is what I would hope for.

At the end of Section 3 there is mention of another paper but no citation. This is odd unless it is also submitted to the conference.

The ?€?key lessons?€? listed in the Conclusion don?€?t appear to be be specifically based on the experiences of this project: can they just be restated as ?€?we used the methods we had selected earlier?€?? There doesn?€?t appear to anything specific that links the methods chosen and the community-based collection development: I don?€?t see a clear contribution beyond reporting project activity.","Overall evaluation: 0
Reviewer's confidence: 3
Recommend for best paper: no",0,,,,,2/17/2018,3:22,no
31,9,370,Praxxxx Terxxxxx,1,"(OVERALL EVALUATION) The paper provides a method for combining knowledge captured from practitioners and from documents into semantically meaningful concepts. 
  The paper utilizes the lettrines labelled by historians utilizing relevance to propogate labels across the database. The motivation behind the paper and a brief
  background into challenges and related work is provided. The relationship between keyword visual representation, concepts in the context of system design, the learning process, 
  the algorithm are discussed. Experimental results for a set of 910 lettrines across different letters, patterns, background and sizes from Virtual Humanistic Libraries
  was used to study propogation. Results are discussed and future work is identified.

  The paper is innovative and applicable to digital libraries and image analysis. There are minor issues with clarity which should be addressed. Particularly
  the last line of the first paragraph of the Introduction, spacing through out the introduction (manually_done, a a_conclusion). Acronyms (CIBR - Content based IR ?) need
  expansion, spelling for words such as precized (3.2) needs correction.","Overall evaluation: 1
Reviewer's confidence: 2
Recommend for best paper: no",1,,,,,2/14/2018,3:22,no
32,9,62,Vitxxxx Casxxxx,2,"(OVERALL EVALUATION) Lettrines are the big decorated letters that often appears as the first letter of a word in ancient books. They are very useful for historians to distinguish the works, the printers and the date of printing. The paper presents a system for the interactive propagation of annotations made by a historian to other lettrines in a data base of lettrines?€? images. 
The methodology is well described and the results seem quite promising. However, the topic is very specialized and would be of interest to a small minority of attendees. Also from the description it does not appear that the described methodology could be used in other applications. The contribution might be more appropriate if presented as a poster.","Overall evaluation: 0
Reviewer's confidence: 2
Recommend for best paper: no",0,,,,,2/16/2018,23:53,no
33,9,13,Marxxxxxxx Agxxx,3,"(OVERALL EVALUATION) The authors in the abstract specify that the goal of the paper is: ""... we propose an approach to interactively propagate annotations representing the historians?€? knowledge on a database of lettrines images manually populated by historians (with annotations). ""
The concept of annotation is then central to the work, but in the related works section they do not refer to seminal works of the extensive bibliography on annotations, digital annotations and systems to support the creation and management of annotations. Why? Are the authors aware of all the work done in the sector?
Much important activity has been carried out within the DELOS network of excellence and the Open Annotation Collaboration.
Subsequently, many results of interest were published in the proceedings of the JCDL, ECDL, TPDL, and ACM DogEng conferences, and in the relevant scientific journals such as, for example, ACM TOIS and IJDL.

The presentation of what has been done by the authors is presented at very different levels of study:
- The authors use keywords that are typical of the field of information retrieval and that refer to general concepts, but the authors never contextualise in depth each topic with respect to what actually done. 
- Instead, section 3.3 shows a ""learning algorithm"" for a model. This algorithm refers to a specific implementation, so is more low level. It would be useful to the reader to understand what the authors propose, if the model the algorithm refers to was presented. But the presentation of the model is not introduced and explained in the paper.

In section 4.1 the process of indexing of the documents is illustrated in a simplistic way, as if the authors did not really know the methods of indexing the text that have always been based on the knowledge of the research results of George Kingsley Zipf.

Probably the authors were influenced by the choice to present their results through a short paper, so they oscillate between a presentation of general concepts in a generic way, and then with some attempt to provide details of some aspects that would be of interest. It also seems that the paper was written hastily, because there are many errors in writing: repetitive words, words that lack a letter, unnecessary white space, etc.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Unfortunately in the current presentation the work can not be accepted.","Overall evaluation: -2
Reviewer's confidence: 5
Recommend for best paper: no",-2,,,,,2/18/2018,16:23,no
34,9,30,Daxxx Baixxxxxx,4,"(OVERALL EVALUATION) This submission details an adaptive pattern recognition technique the authors have devised to support scholars without a programming background to study visual artifacts within documents, such as lettrines.  Indeed, lettrines is the focus of this article, although the authors point out that -- given the adaptive nature of the approach which starts with no a priori knowledge -- the approach is also applicable to other visual artifacts.

The paper is reasonably structured, however the number of grammatical errors and spelling mistakes makes some parts hard to follow.  Any spell checker would flag ?€?achine?€? ?€?manuallydone?€? and ?€?precized?€? as not recognized words: the first looks like it was meant to be ?€?machine?€?, the second ?€?manually done?€?, but I could not work out what the latter was meant to be.  

The paper uses the term ?€?semantic concepts?€? numerous times without defining (or giving a reference to) what is meant by this.  This is more problematic than the grammatical and typing errors in being able to follow the work that is being described.  I wonder if all that is being described in this case are manually assigned text labels? It is another detail that could be addressed with some editing work, but continues the trend of a lack of care and attention to detail.  

The description at the very end of Section 2 is rather nebulous as to what it means.  I wonder, for example, if the fundamentals of the Gamera software suite by the DDMAL group at the McGill University (Canada) (which incidentally would count as prior work) doesn?€?t meet the requirements set out by the authors.

In terms of the technical work, it was troubling to read that their processing of the image maps it to be a gray-scale image when color is given as one of the four principal elements to lettrines that are studied (?€?the letter, the color of the letter, the pattern and the background?€?). The use of 3x3 cells also seems somewhat arbitrary, and not justified.  It begs the question what would happen to the accuracy of the technique reported if lettrines varied considerably in size, or if the digitized images the scholar is interested in comes from disparate sources where scan resolution is not uniformly controlled.  This then links to the wider context of just how exactly the document recognition system being described -- which requires it to be under the control of the scholar -- would operate in practice in a digital library -- this is not addressed in the paper, but is clearly an important issue given the conference topic.

The reported test set size is not very large (910 lettrine images covering the 26 letters of the alphabet), which was then further split in two to produce training and testing data.  I found it unusual that precision results were given without being accompanied with recall rates.

These issues make the paper too problematic in its current form for me to recommend it be accepted as a short paper to JCDL.","Overall evaluation: -1
Reviewer's confidence: 4
Recommend for best paper: no",-1,,,,,2/20/2018,9:39,no
